,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Concepte,Rang_soroll,Valor,Lloguer_mitja_mensual,Lloguer_mitja_m2
52,2,Eixample,6,la Sagrada Família,TOTAL_D,45-50 dB,37.91,874.7,13.33
53,2,Eixample,6,la Sagrada Família,TOTAL_D,50-55 dB,1.36,874.7,13.33
54,2,Eixample,6,la Sagrada Família,TOTAL_D,55-60 dB,4.63,874.7,13.33
55,2,Eixample,6,la Sagrada Família,TOTAL_D,60-65 dB,8.89,874.7,13.33
56,2,Eixample,6,la Sagrada Família,TOTAL_D,65-70 dB,24.65,874.7,13.33
57,2,Eixample,6,la Sagrada Família,TOTAL_D,70-75 dB,20.24,874.7,13.33
58,2,Eixample,6,la Sagrada Família,TOTAL_D,75-80 dB,0.47,874.7,13.33
59,2,Eixample,6,la Sagrada Família,TOTAL_D,>=80 dB,0.0,874.7,13.33
60,2,Eixample,7,la Dreta de l'Eixample,TOTAL_D,<40 dB,0.05,1193.36,13.5
61,2,Eixample,7,la Dreta de l'Eixample,TOTAL_D,40-45 dB,1.59,1193.36,13.5
62,2,Eixample,7,la Dreta de l'Eixample,TOTAL_D,45-50 dB,30.56,1193.36,13.5
63,2,Eixample,7,la Dreta de l'Eixample,TOTAL_D,50-55 dB,3.18,1193.36,13.5
64,2,Eixample,7,la Dreta de l'Eixample,TOTAL_D,55-60 dB,7.09,1193.36,13.5
65,2,Eixample,7,la Dreta de l'Eixample,TOTAL_D,60-65 dB,9.28,1193.36,13.5
66,2,Eixample,7,la Dreta de l'Eixample,TOTAL_D,65-70 dB,24.2,1193.36,13.5
67,2,Eixample,7,la Dreta de l'Eixample,TOTAL_D,70-75 dB,21.48,1193.36,13.5
68,2,Eixample,7,la Dreta de l'Eixample,TOTAL_D,75-80 dB,2.57,1193.36,13.5
69,2,Eixample,7,la Dreta de l'Eixample,TOTAL_D,>=80 dB,0.0,1193.36,13.5
70,2,Eixample,8,l'Antiga Esquerra de l'Eixample,TOTAL_D,<40 dB,0.13,1056.32,13.68
71,2,Eixample,8,l'Antiga Esquerra de l'Eixample,TOTAL_D,40-45 dB,0.0,1056.32,13.68
72,2,Eixample,8,l'Antiga Esquerra de l'Eixample,TOTAL_D,45-50 dB,32.58,1056.32,13.68
73,2,Eixample,8,l'Antiga Esquerra de l'Eixample,TOTAL_D,50-55 dB,2.16,1056.32,13.68
74,2,Eixample,8,l'Antiga Esquerra de l'Eixample,TOTAL_D,55-60 dB,9.52,1056.32,13.68
75,2,Eixample,8,l'Antiga Esquerra de l'Eixample,TOTAL_D,60-65 dB,5.99,1056.32,13.68
76,2,Eixample,8,l'Antiga Esquerra de l'Eixample,TOTAL_D,65-70 dB,22.18,1056.32,13.68
77,2,Eixample,8,l'Antiga Esquerra de l'Eixample,TOTAL_D,70-75 dB,26.28,1056.32,13.68
78,2,Eixample,8,l'Antiga Esquerra de l'Eixample,TOTAL_D,75-80 dB,1.16,1056.32,13.68
79,2,Eixample,8,l'Antiga Esquerra de l'Eixample,TOTAL_D,>=80 dB,0.0,1056.32,13.68
80,2,Eixample,9,la Nova Esquerra de l'Eixample,TOTAL_D,<40 dB,0.15,941.55,13.5
81,2,Eixample,9,la Nova Esquerra de l'Eixample,TOTAL_D,40-45 dB,7.87,941.55,13.5
82,2,Eixample,9,la Nova Esquerra de l'Eixample,TOTAL_D,45-50 dB,27.66,941.55,13.5
83,2,Eixample,9,la Nova Esquerra de l'Eixample,TOTAL_D,50-55 dB,1.14,941.55,13.5
84,2,Eixample,9,la Nova Esquerra de l'Eixample,TOTAL_D,55-60 dB,7.75,941.55,13.5
85,2,Eixample,9,la Nova Esquerra de l'Eixample,TOTAL_D,60-65 dB,12.85,941.55,13.5
86,2,Eixample,9,la Nova Esquerra de l'Eixample,TOTAL_D,65-70 dB,25.38,941.55,13.5
87,2,Eixample,9,la Nova Esquerra de l'Eixample,TOTAL_D,70-75 dB,16.72,941.55,13.5
88,2,Eixample,9,la Nova Esquerra de l'Eixample,TOTAL_D,75-80 dB,0.48,941.55,13.5
89,2,Eixample,9,la Nova Esquerra de l'Eixample,TOTAL_D,>=80 dB,0.0,941.55,13.5
90,2,Eixample,10,Sant Antoni,TOTAL_D,<40 dB,0.15,898.26,12.95
91,2,Eixample,10,Sant Antoni,TOTAL_D,40-45 dB,7.63,898.26,12.95
92,2,Eixample,10,Sant Antoni,TOTAL_D,45-50 dB,26.82,898.26,12.95
93,2,Eixample,10,Sant Antoni,TOTAL_D,50-55 dB,3.85,898.26,12.95
94,2,Eixample,10,Sant Antoni,TOTAL_D,55-60 dB,7.85,898.26,12.95
95,2,Eixample,10,Sant Antoni,TOTAL_D,60-65 dB,10.13,898.26,12.95
96,2,Eixample,10,Sant Antoni,TOTAL_D,65-70 dB,31.23,898.26,12.95
97,2,Eixample,10,Sant Antoni,TOTAL_D,70-75 dB,12.26,898.26,12.95
98,2,Eixample,10,Sant Antoni,TOTAL_D,75-80 dB,0.08,898.26,12.95
